==Frequent itemsets (min_sup=1.0%)==
('16590', '2003', 'female')	 supp: 2.5%
('16590', '26309', 'female')	 supp: 2.5%
('2003', '26309', 'female')	 supp: 2.5%
('16590', '2003', '26309', 'female')	 supp: 2.5%
('16371', 'female')	 supp: 2.5%
('16371', '25263')	 supp: 2.5%
('16371', '2003')	 supp: 2.5%
('25263', 'female')	 supp: 2.5%
('2003', '25263')	 supp: 2.5%
('16371', '25263', 'female')	 supp: 2.5%
('2003', '25263', 'female')	 supp: 2.5%
('16371', '2003', '25263')	 supp: 2.5%
('16371', '2003', 'female')	 supp: 2.5%
('16371', '2003', '25263', 'female')	 supp: 2.5%
('15381', 'female')	 supp: 2.46%
('15381', '21942')	 supp: 2.46%
('15381', '2003')	 supp: 2.46%
('21942', 'female')	 supp: 2.46%
('2003', '21942')	 supp: 2.46%
('15381', '2003', '21942')	 supp: 2.46%
('15381', '2003', 'female')	 supp: 2.46%
('2003', '21942', 'female')	 supp: 2.46%
('15381', '21942', 'female')	 supp: 2.46%
('15381', '2003', '21942', 'female')	 supp: 2.46%
('20636', '24466')	 supp: 2.3%
('20636', 'male')	 supp: 2.3%
('24466', 'male')	 supp: 2.3%
('2007', '20636')	 supp: 2.3%
('2007', '24466')	 supp: 2.3%
('2007', '24466', 'male')	 supp: 2.3%
('20636', '24466', 'male')	 supp: 2.3%
('2007', '20636', '24466')	 supp: 2.3%
('2007', '20636', 'male')	 supp: 2.3%
('2007', '20636', '24466', 'male')	 supp: 2.3%
('25751', 'male')	 supp: 2.28%
('19531', '25751')	 supp: 2.28%
('19531', 'male')	 supp: 2.28%
('19531', '2006')	 supp: 2.28%
('2006', '25751')	 supp: 2.28%
('26194', 'male')	 supp: 2.28%
('2006', '26194')	 supp: 2.28%
('19698', '26194')	 supp: 2.28%
('19698', 'male')	 supp: 2.28%
('19698', '2006')	 supp: 2.28%
('2006', '25751', 'male')	 supp: 2.28%
('19531', '2006', '25751')	 supp: 2.28%
('19531', '2006', 'male')	 supp: 2.28%
('19531', '25751', 'male')	 supp: 2.28%
('19698', '2006', '26194')	 supp: 2.28%
('19698', '2006', 'male')	 supp: 2.28%
('19698', '26194', 'male')	 supp: 2.28%
('2006', '26194', 'male')	 supp: 2.28%
('19531', '2006', '25751', 'male')	 supp: 2.28%
('19698', '2006', '26194', 'male')	 supp: 2.28%
('22511', 'male')	 supp: 2.28%
('2007', '22511')	 supp: 2.28%
('19458', '22511')	 supp: 2.28%
('19458', '2007')	 supp: 2.28%
('19458', 'male')	 supp: 2.28%
('2007', '22511', 'male')	 supp: 2.28%
('19458', '2007', '22511')	 supp: 2.28%
('19458', '2007', 'male')	 supp: 2.28%
('19458', '22511', 'male')	 supp: 2.28%
('19458', '2007', '22511', 'male')	 supp: 2.28%
('23597', 'male')	 supp: 2.26%
('18537', '23597')	 supp: 2.26%
('18537', 'male')	 supp: 2.26%
('18537', '2006')	 supp: 2.26%
('2006', '23597')	 supp: 2.26%
('18537', '23597', 'male')	 supp: 2.26%
('2006', '23597', 'male')	 supp: 2.26%
('18537', '2006', '23597')	 supp: 2.26%
('18537', '2006', 'male')	 supp: 2.26%
('18537', '2006', '23597', 'male')	 supp: 2.26%
('17815', '25912')	 supp: 2.25%
('17815', '2005')	 supp: 2.25%
('17815', 'male')	 supp: 2.25%
('25912', 'male')	 supp: 2.25%
('2005', '25912')	 supp: 2.25%
('17815', '2005', '25912')	 supp: 2.25%
('17815', '2005', 'male')	 supp: 2.25%
('2005', '25912', 'male')	 supp: 2.25%
('17815', '25912', 'male')	 supp: 2.25%
('17815', '2005', '25912', 'male')	 supp: 2.25%
('2005', '24583')	 supp: 2.25%
('24583', 'male')	 supp: 2.25%
('17374', '2005')	 supp: 2.25%
('17374', '24583')	 supp: 2.25%
('17374', 'male')	 supp: 2.25%
('17374', '2005', '24583')	 supp: 2.25%
('17374', '2005', 'male')	 supp: 2.25%
('17374', '24583', 'male')	 supp: 2.25%
('2005', '24583', 'male')	 supp: 2.25%
('17374', '2005', '24583', 'male')	 supp: 2.25%
('15685', 'male')	 supp: 2.25%
('15685', '24299')	 supp: 2.25%
('15685', '2004')	 supp: 2.25%
('24299', 'male')	 supp: 2.25%
('2004', '24299')	 supp: 2.25%
('2004', '24299', 'male')	 supp: 2.25%
('15685', '24299', 'male')	 supp: 2.25%
('15685', '2004', '24299')	 supp: 2.25%
('15685', '2004', 'male')	 supp: 2.25%
('15685', '2004', '24299', 'male')	 supp: 2.25%
('15258', 'male')	 supp: 2.25%
('15258', '22915')	 supp: 2.25%
('15258', '2004')	 supp: 2.25%
('22915', 'male')	 supp: 2.25%
('2004', '22915')	 supp: 2.25%
('15258', '22915', 'male')	 supp: 2.25%
('2004', '22915', 'male')	 supp: 2.25%
('15258', '2004', '22915')	 supp: 2.25%
('15258', '2004', 'male')	 supp: 2.25%
('15258', '2004', '22915', 'male')	 supp: 2.25%
('21840', 'male')	 supp: 2.24%
('17628', '21840')	 supp: 2.24%
('17628', 'male')	 supp: 2.24%
('17628', '2006')	 supp: 2.24%
('2006', '21840')	 supp: 2.24%
('17628', '2006', '21840')	 supp: 2.24%
('17628', '2006', 'male')	 supp: 2.24%
('2006', '21840', 'male')	 supp: 2.24%
('17628', '21840', 'male')	 supp: 2.24%
('17628', '2006', '21840', 'male')	 supp: 2.24%
('2005', '22122')	 supp: 2.21%
('22122', 'male')	 supp: 2.21%
('16299', '2005')	 supp: 2.21%
('16299', 'male')	 supp: 2.21%
('16299', '22122')	 supp: 2.21%
('2005', '22122', 'male')	 supp: 2.21%
('16299', '2005', '22122')	 supp: 2.21%
('16299', '2005', 'male')	 supp: 2.21%
('16299', '22122', 'male')	 supp: 2.21%
('16299', '2005', '22122', 'male')	 supp: 2.21%
('13682', 'male')	 supp: 2.2%
('13682', '2004')	 supp: 2.2%
('13682', '18828')	 supp: 2.2%
('18828', 'male')	 supp: 2.2%
('18828', '2004')	 supp: 2.2%
('13682', '18828', '2004')	 supp: 2.2%
('13682', '18828', 'male')	 supp: 2.2%
('13682', '2004', 'male')	 supp: 2.2%
('18828', '2004', 'male')	 supp: 2.2%
('13682', '18828', '2004', 'male')	 supp: 2.2%
('20559', 'male')	 supp: 2.18%
('2005', '20559')	 supp: 2.18%
('15565', '20559')	 supp: 2.18%
('15565', '2005')	 supp: 2.18%
('15565', 'male')	 supp: 2.18%
('15565', '2005', '20559')	 supp: 2.18%
('15565', '2005', 'male')	 supp: 2.18%
('2005', '20559', 'male')	 supp: 2.18%
('15565', '20559', 'male')	 supp: 2.18%
('15565', '2005', '20559', 'male')	 supp: 2.18%
('2002', '25053')	 supp: 2.04%
('15231', '2002')	 supp: 2.04%
('15231', 'female')	 supp: 2.04%
('15231', '25053')	 supp: 2.04%
('25053', 'female')	 supp: 2.04%
('2002', '25053', 'female')	 supp: 2.04%
('15231', '2002', '25053')	 supp: 2.04%
('15231', '2002', 'female')	 supp: 2.04%
('15231', '25053', 'female')	 supp: 2.04%
('15231', '2002', '25053', 'female')	 supp: 2.04%
('2002', '24040')	 supp: 2.04%
('15053', '2002')	 supp: 2.04%
('15053', 'female')	 supp: 2.04%
('15053', '24040')	 supp: 2.04%
('24040', 'female')	 supp: 2.04%
('15053', '24040', 'female')	 supp: 2.04%
('2002', '24040', 'female')	 supp: 2.04%
('15053', '2002', '24040')	 supp: 2.04%
('15053', '2002', 'female')	 supp: 2.04%
('15053', '2002', '24040', 'female')	 supp: 2.04%
('13365', 'female')	 supp: 2.03%
('13365', '23594')	 supp: 2.03%
('13365', '2001')	 supp: 2.03%
('23594', 'female')	 supp: 2.03%
('2001', '23594')	 supp: 2.03%
('13365', '23594', 'female')	 supp: 2.03%
('2001', '23594', 'female')	 supp: 2.03%
('13365', '2001', '23594')	 supp: 2.03%
('13365', '2001', 'female')	 supp: 2.03%
('13365', '2001', '23594', 'female')	 supp: 2.03%
('13210', 'female')	 supp: 2.03%
('13210', '22680')	 supp: 2.03%
('13210', '2001')	 supp: 2.03%
('22680', 'female')	 supp: 2.03%
('2001', '22680')	 supp: 2.03%
('13210', '2001', '22680')	 supp: 2.03%
('13210', '2001', 'female')	 supp: 2.03%
('2001', '22680', 'female')	 supp: 2.03%
('13210', '22680', 'female')	 supp: 2.03%
('13210', '2001', '22680', 'female')	 supp: 2.03%
('2002', '20565')	 supp: 1.99%
('13986', '2002')	 supp: 1.99%
('13986', 'female')	 supp: 1.99%
('13986', '20565')	 supp: 1.99%
('20565', 'female')	 supp: 1.99%
('13986', '2002', '20565')	 supp: 1.99%
('13986', '2002', 'female')	 supp: 1.99%
('13986', '20565', 'female')	 supp: 1.99%
('2002', '20565', 'female')	 supp: 1.99%
('13986', '2002', '20565', 'female')	 supp: 1.99%
('19424', 'female')	 supp: 1.99%
('19424', '2001')	 supp: 1.99%
('12455', 'female')	 supp: 1.99%
('12455', '19424')	 supp: 1.99%
('12455', '2001')	 supp: 1.99%
('12455', '2001', 'female')	 supp: 1.99%
('19424', '2001', 'female')	 supp: 1.99%
('12455', '19424', '2001')	 supp: 1.99%
('12455', '19424', 'female')	 supp: 1.99%
('12455', '19424', '2001', 'female')	 supp: 1.99%
